Client_ID,Region,Client_Location,Client_Tenure_Months,Service_Type,Support_Access,Engagement_Type,Monthly_Client_Value,Cumulative_Client_Value,Churn_Status,Churn_Flag,CLTV,Churn Reason,Client_Health_Index,Content_Quality_Score,Content_Score_Trend_30D,Guideline_Compliance_Score,Compliance_Flags,Critical_Compliance_Issues,Engagement_Score,Monthly_Engagements,Client_Meetings,Report_Views,Response_Rate,Support_Tickets,Unresolved_Support_Tickets,Avg_Resolution_Time,Days_Since_Last_Engagement,Search_Visibility_Change,Traffic_Change,noise_control_1,noise_control_2
8773-HHUOZ,California,Los Angeles,17,DSL,No,Month-to-month,64.7,1093.1,Yes,1,3022,Competitor offered higher download speeds,0.546,93.2,-12.4,81.7,-0.1,0.3,73.9,9.0,3.7,13.8,70.5,1.1,-1.7,40.9,24.4,-2.2,0.3,92.4,0.6
6047-YHPVI,California,Los Angeles,5,Fiber optic,No,Month-to-month,69.7,316.9,Yes,1,2454,Competitor offered higher download speeds,0.363,79.5,8.4,80.8,2.8,0.4,71.2,9.0,3.1,4.3,82.8,4.9,3.0,21.9,5.1,-9.3,8.5,77.5,2.5
5380-WJKOV,California,Los Angeles,34,Fiber optic,No,Month-to-month,106.35,3549.25,Yes,1,2941,Competitor offered higher download speeds,-0.091,44.5,-5.9,75.2,1.2,1.2,49.1,2.3,2.2,11.9,79.4,4.4,2.6,16.0,5.3,-0.3,-7.1,57.0,0.0
8168-UQWWF,California,Los Angeles,11,Fiber optic,No,Month-to-month,97.85,1105.4,Yes,1,5674,Competitor offered more data,0.734,,-10.1,66.7,0.8,-0.5,40.6,7.4,1.2,10.3,78.9,5.2,1.5,18.9,24.1,6.0,-6.0,83.8,7.5
7760-OYPDY,California,Los Angeles,2,Fiber optic,No,Month-to-month,80.65,144.15,Yes,1,5586,Competitor offered more data,0.051,60.1,-9.3,48.9,3.1,0.5,62.4,9.6,3.5,11.9,64.2,5.6,1.3,28.7,54.3,2.2,1.2,67.9,4.8
9420-LOJKX,California,Los Angeles,15,Fiber optic,No,Month-to-month,99.1,1426.4,Yes,1,2966,Competitor offered more data,-1.095,78.7,-2.1,84.2,2.3,1.8,41.0,-2.9,-0.3,18.5,9.6,6.8,4.7,55.4,45.1,-13.3,-23.8,49.7,2.8
7495-OOKFY,California,Los Angeles,8,Fiber optic,No,Month-to-month,80.65,633.3,Yes,1,5302,Competitor made better offer,0.002,67.0,-7.5,69.6,1.7,2.2,51.0,7.9,4.2,3.4,98.1,3.8,1.8,24.6,15.0,7.2,-21.5,58.1,0.0
1658-BYGOY,California,Los Angeles,18,Fiber optic,No,Month-to-month,95.45,1752.55,Yes,1,3179,Competitor made better offer,-1.166,73.1,-3.3,52.4,4.9,-0.1,54.6,4.5,0.0,16.6,67.5,7.7,2.1,46.3,38.9,-10.5,0.4,69.4,4.1
5698-BQJOH,California,Beverly Hills,9,Fiber optic,No,Month-to-month,94.4,857.25,Yes,1,5571,Price too high,0.486,61.1,-7.2,82.1,0.4,0.8,55.9,9.3,0.7,13.8,54.2,2.0,0.9,46.0,23.7,-2.4,1.1,80.1,3.3
5919-TMRGD,California,Huntington Park,1,Fiber optic,No,Month-to-month,79.35,79.35,Yes,1,2483,Product dissatisfaction,-0.44,71.8,-15.2,78.2,3.4,0.6,61.1,0.2,1.6,10.0,57.2,6.9,2.2,27.6,21.3,4.6,0.1,67.5,3.6
9191-MYQKX,California,Lynwood,7,Fiber optic,No,Month-to-month,75.15,496.9,Yes,1,3457,Service dissatisfaction,-0.523,,6.8,81.3,4.1,0.7,95.8,2.2,1.9,3.9,66.0,6.1,0.7,53.5,44.3,-3.0,-3.1,75.2,3.7
8637-XJIVR,California,Marina Del Rey,12,Fiber optic,No,Month-to-month,78.95,927.35,Yes,1,5806,Lack of self-service on Website,-0.95,80.5,-1.6,83.1,4.8,0.3,63.5,-1.1,1.5,10.9,66.7,5.9,3.3,46.2,22.9,-6.7,-20.6,66.6,1.7
0278-YXOOG,California,Inglewood,5,No,No internet service,Month-to-month,21.05,113.85,Yes,1,2604,Network reliability,0.779,76.2,-1.9,69.7,5.3,1.0,86.5,1.6,0.2,28.4,47.9,2.9,2.7,19.4,14.0,20.8,-6.4,94.3,0.0
4598-XLKNJ,California,Inglewood,25,Fiber optic,No,Month-to-month,98.5,2514.5,Yes,1,5337,Limited range of services,-0.363,76.0,-6.4,65.5,1.5,1.3,65.0,8.7,2.3,-7.5,47.0,2.5,3.2,31.7,15.9,-0.4,-7.1,63.5,2.4
3192-NQECA,California,Santa Monica,68,Fiber optic,Yes,Two year,110.0,7611.85,Yes,1,5034,Lack of affordable download/upload speed,0.189,41.7,9.0,73.3,0.8,2.5,62.0,3.9,3.5,-2.0,74.4,3.5,1.2,24.3,17.5,-0.9,3.5,88.5,0.5
0486-HECZI,California,Torrance,55,Fiber optic,No,Month-to-month,96.75,5238.9,Yes,1,5154,Long distance charges,-0.328,63.9,1.5,82.7,3.8,-0.3,65.5,2.8,1.5,9.2,53.9,0.6,2.1,33.2,62.9,-4.8,-8.5,71.7,0.0
4846-WHAFZ,California,Whittier,37,Fiber optic,No,Month-to-month,76.5,2868.15,Yes,1,2793,Extra data charges,0.367,73.6,7.3,56.2,3.5,-0.8,69.7,11.0,-0.4,14.4,39.1,5.6,-0.5,37.7,17.0,-3.7,3.8,76.8,0.0
5299-RULOA,California,Whittier,10,Fiber optic,No,Month-to-month,100.25,1064.65,Yes,1,5998,Price too high,0.014,69.5,-5.8,77.1,1.0,2.2,73.3,4.6,1.5,17.9,52.6,2.6,-0.2,26.8,23.9,-1.2,-10.3,41.5,1.3
0404-SWRVG,California,La Habra,3,Fiber optic,No,Month-to-month,74.4,229.55,Yes,1,4415,Product dissatisfaction,0.007,78.3,-1.4,85.1,3.1,0.6,60.4,9.9,0.0,14.4,65.0,21.0,2.4,39.1,47.0,-8.0,12.6,91.2,0.0
4412-YLTKF,California,Pico Rivera,27,Fiber optic,No,Month-to-month,78.05,2135.5,Yes,1,4638,Service dissatisfaction,0.199,63.4,1.6,85.5,6.5,0.2,39.9,2.1,-1.1,0.3,40.3,-0.5,2.5,35.9,49.8,-7.7,-0.2,60.4,0.0
6207-WIOLX,California,Avalon,25,DSL,No,Month-to-month,58.6,1502.65,Yes,1,4190,Lack of self-service on Website,1.785,76.9,-0.6,90.0,1.3,0.3,48.8,7.5,2.0,19.9,102.8,-0.2,-1.8,13.4,9.2,0.7,8.7,80.2,4.7
3091-FYHKI,California,Harbor City,1,DSL,No,Month-to-month,35.45,35.45,Yes,1,2301,Network reliability,-0.774,76.7,-4.6,83.3,4.3,-0.2,61.2,1.1,4.0,8.1,79.3,10.1,0.1,42.9,61.6,1.3,-0.4,64.2,5.4
2372-HWUHI,California,Lakewood,2,DSL,No,Month-to-month,44.35,81.25,Yes,1,2570,Don't know,-0.865,34.7,-8.3,44.8,5.4,1.1,35.2,6.8,1.2,15.3,,3.0,0.6,51.7,22.1,3.6,-30.8,55.7,4.3
0390-DCFDQ,California,Los Alamitos,1,Fiber optic,No,Month-to-month,70.45,70.45,Yes,1,3964,Don't know,-1.155,67.5,-2.2,87.3,7.0,0.9,62.1,3.3,0.8,3.4,59.3,6.9,2.4,37.4,54.3,-19.6,-3.3,82.8,5.5
4080-OGPJL,California,San Pedro,8,DSL,Yes,Month-to-month,71.15,563.65,Yes,1,2662,Don't know,0.318,64.4,-10.1,80.3,2.5,1.4,83.1,9.4,3.2,1.3,47.5,0.5,0.7,42.0,28.9,1.6,-2.1,65.5,0.0
2135-RXIHG,California,Carson,1,DSL,No,Month-to-month,45.65,45.65,Yes,1,2600,Poor expertise of online support,0.662,59.3,4.1,91.7,3.9,1.1,60.6,7.7,3.2,9.7,56.0,0.1,-0.5,19.2,35.2,-1.0,-2.9,70.6,1.5
3874-EQOEP,California,Long Beach,7,Fiber optic,No,Month-to-month,95.0,655.5,Yes,1,2786,Poor expertise of phone support,-0.456,68.3,-0.9,62.2,1.3,1.5,75.5,-2.5,-0.8,13.6,83.4,3.9,1.2,55.4,47.4,17.2,-0.5,68.4,2.0
0867-MKZVY,California,Altadena,20,Fiber optic,No,Month-to-month,82.4,1592.35,Yes,1,5719,Price too high,-1.041,75.8,-6.1,54.0,3.0,1.1,56.1,3.3,4.2,11.4,45.8,4.6,1.5,47.0,40.0,-7.1,-11.2,50.1,3.0
3376-BMGFE,California,Monrovia,4,Fiber optic,No,Month-to-month,70.9,273.0,Yes,1,4287,Product dissatisfaction,-1.143,73.0,-1.8,89.0,2.3,2.1,51.6,-2.0,1.5,8.6,57.4,3.3,3.2,48.7,51.5,-14.5,6.1,57.5,2.2
3445-HXXGF,California,Sierra Madre,58,DSL,No,Month-to-month,45.3,2651.2,Yes,1,5444,Service dissatisfaction,0.631,68.5,-2.5,69.0,-1.1,0.9,65.1,8.4,3.6,8.5,64.6,3.0,0.7,23.8,41.8,6.4,18.2,47.3,0.0
1875-QIVME,California,Tujunga,2,Fiber optic,Yes,Month-to-month,104.4,242.8,Yes,1,4690,Lack of self-service on Website,0.393,79.3,-5.3,74.2,-0.5,0.1,48.9,8.8,1.1,11.3,65.2,1.5,3.1,41.3,0.5,5.4,0.9,60.9,0.1
0691-JVSYA,California,Pasadena,53,Fiber optic,No,One year,94.85,5000.2,Yes,1,4328,Network reliability,0.719,,4.1,83.9,2.5,-0.2,49.2,9.8,-0.9,23.4,67.8,5.6,-1.6,36.2,11.2,-1.3,8.3,90.7,2.2
2656-FMOKZ,California,Pasadena,15,Fiber optic,No,Month-to-month,74.45,1145.7,Yes,1,5717,Limited range of services,-0.914,60.7,-0.2,79.8,3.6,0.4,26.5,4.0,1.1,26.9,55.5,8.8,2.5,48.0,56.7,-1.1,-9.5,86.5,0.7
2070-FNEXE,California,Pasadena,7,Fiber optic,No,Month-to-month,76.45,503.6,Yes,1,4419,Lack of affordable download/upload speed,-0.133,57.7,-5.7,86.0,0.7,1.1,46.7,-0.7,0.0,13.9,57.1,6.0,4.2,51.0,-0.7,6.8,-14.1,94.9,4.0
6317-YPKDH,California,Glendale,1,DSL,No,Month-to-month,29.95,29.95,Yes,1,4534,Long distance charges,-0.284,57.5,-6.7,76.8,5.0,-0.3,91.6,6.4,3.6,17.7,58.3,0.8,1.4,30.3,14.8,7.6,0.5,83.9,3.3
9367-WXLCH,California,Glendale,8,Fiber optic,No,Month-to-month,84.5,662.65,Yes,1,2152,Extra data charges,-0.138,76.0,-3.4,64.7,0.6,0.8,34.5,7.4,-0.5,5.8,61.0,4.7,1.1,51.0,61.8,2.2,-13.8,75.8,7.2
1918-ZBFQJ,California,Glendale,13,Fiber optic,No,Month-to-month,79.25,1111.65,Yes,1,5142,Price too high,0.509,68.9,-4.2,84.9,2.4,-0.1,44.2,6.1,2.2,22.0,53.3,1.8,0.3,41.5,22.1,-5.3,-7.2,89.9,3.6
1024-GUALD,California,Glendale,1,DSL,No,Month-to-month,24.8,24.8,Yes,1,4851,Product dissatisfaction,-0.184,53.1,8.4,82.2,1.7,-0.3,45.2,6.0,2.7,8.4,41.6,2.4,-0.4,21.6,38.0,-12.7,-3.3,66.2,5.5
2472-OVKUP,California,Canoga Park,6,Fiber optic,No,Month-to-month,91.0,531.0,Yes,1,2283,Service dissatisfaction,0.278,48.0,1.2,58.7,2.3,-0.3,49.3,-1.1,2.7,3.1,61.1,4.9,2.6,53.3,38.0,-6.1,-2.4,90.2,0.0
1285-OKIPP,California,Mission Hills,1,Fiber optic,No,Month-to-month,79.9,79.9,Yes,1,3394,Lack of self-service on Website,-0.33,74.9,-2.6,88.6,3.9,0.7,61.3,5.7,0.9,18.5,49.1,4.1,0.5,30.1,43.8,4.9,-4.1,72.9,6.4
7825-ECJRF,California,Santa Clarita,19,Fiber optic,Yes,Month-to-month,106.6,1934.45,Yes,1,3764,Network reliability,0.092,60.6,-8.0,51.2,3.4,1.2,50.3,5.7,-1.0,12.1,64.7,3.7,2.5,36.9,23.0,2.9,9.0,72.3,5.9
7841-TZDMQ,California,Sun Valley,2,DSL,No,Month-to-month,46.0,84.5,Yes,1,2667,Don't know,0.204,71.8,4.0,86.9,3.3,0.1,57.7,1.5,-0.5,21.5,49.4,3.5,1.8,36.9,25.0,-15.7,8.4,72.6,1.3
9408-SSNVZ,California,Stevenson Ranch,4,Fiber optic,No,Month-to-month,70.15,268.35,Yes,1,2227,Don't know,-1.734,72.2,-10.9,62.5,4.3,-0.5,33.3,5.3,-0.3,12.8,23.8,3.1,3.1,31.8,85.8,-23.0,0.5,88.5,0.8
0742-MOABM,California,Panorama City,4,DSL,Yes,Month-to-month,50.05,179.35,Yes,1,3394,Don't know,-0.586,47.8,-8.0,80.5,0.6,3.2,47.6,3.1,-0.7,0.8,84.7,1.8,0.5,48.1,13.9,-24.3,-2.8,96.7,1.1
2232-DMLXU,California,Van Nuys,1,DSL,No,Month-to-month,55.2,55.2,Yes,1,3638,Poor expertise of online support,-0.834,61.7,1.3,77.5,4.6,1.7,52.4,5.6,1.3,10.5,49.7,3.7,2.3,33.7,27.3,-0.8,-18.3,56.9,0.0
8937-RDTHP,California,Burbank,1,Fiber optic,No,Month-to-month,84.6,84.6,Yes,1,2484,Poor expertise of phone support,-0.991,59.3,-1.8,71.4,1.2,1.6,50.1,6.4,0.1,2.5,23.3,4.0,1.9,24.4,20.1,-7.8,-9.5,84.1,0.0
1251-KRREG,California,North Hollywood,2,DSL,No,Month-to-month,54.4,114.1,Yes,1,2556,Price too high,-0.644,67.8,-21.1,77.7,2.5,2.0,86.5,6.3,-0.6,18.5,73.0,5.0,2.0,28.2,34.7,-6.8,-11.3,68.9,3.5
0094-OIFMO,California,North Hollywood,11,Fiber optic,No,Month-to-month,95.0,1120.3,Yes,1,5980,Product dissatisfaction,1.078,87.4,0.2,79.2,1.0,0.4,66.7,2.4,0.2,14.5,64.2,4.6,-2.4,8.0,7.6,1.2,3.3,71.6,5.7
9947-OTFQU,California,Covina,15,Fiber optic,No,Month-to-month,74.4,1074.3,Yes,1,4616,Service dissatisfaction,-1.101,44.8,-4.0,78.5,3.5,0.8,48.1,2.7,-1.3,3.9,57.1,4.1,2.6,24.2,64.8,-8.8,4.5,72.8,4.5
0322-YINQP,California,Covina,1,DSL,No,Month-to-month,48.55,48.55,Yes,1,5687,Lack of self-service on Website,0.512,76.3,-2.7,99.7,1.2,1.5,23.1,15.3,2.0,-1.7,70.4,3.5,4.0,44.4,57.4,-4.6,3.2,83.9,0.0
4629-NRXKX,California,El Monte,2,Fiber optic,No,Month-to-month,70.4,147.15,Yes,1,5687,Network reliability,-1.96,68.5,-6.1,54.5,3.3,2.2,49.1,8.4,-0.4,14.6,67.4,7.3,0.8,26.0,48.2,3.3,-11.6,55.9,5.6
9514-JDSKI,California,El Monte,1,DSL,No,Month-to-month,40.2,40.2,Yes,1,5828,Limited range of services,-0.707,60.6,-16.4,41.0,5.3,1.3,22.7,8.2,1.5,7.1,64.1,3.6,3.0,42.5,20.3,2.5,2.0,55.7,5.0
4959-JOSRX,California,La Puente,2,DSL,No,Month-to-month,44.6,80.55,Yes,1,4884,Lack of affordable download/upload speed,-0.234,,-22.2,70.7,0.4,1.4,66.5,6.7,1.6,8.8,39.8,4.7,1.2,29.1,67.7,5.0,-3.9,72.9,2.8
7273-TEFQD,California,La Puente,3,DSL,No,Month-to-month,41.15,132.2,Yes,1,2314,Long distance charges,0.169,72.6,-8.1,71.6,2.2,-0.3,62.9,2.3,1.6,15.1,45.7,3.9,-0.0,47.1,17.9,11.1,-3.3,54.5,5.8
3606-TWKGI,California,Rowland Heights,13,Fiber optic,No,Month-to-month,106.9,1364.3,Yes,1,2494,Extra data charges,0.359,72.8,1.2,73.4,0.3,0.4,74.8,5.9,3.1,5.9,,2.5,0.3,33.0,34.0,8.2,6.2,74.2,9.2
6323-AYBRX,California,Ontario,59,No,No internet service,Two year,19.35,1099.6,Yes,1,5084,Price too high,1.181,,-21.0,71.2,2.6,1.6,57.8,6.2,0.1,3.5,63.3,-0.3,2.7,14.8,30.0,-6.0,7.0,84.0,1.4
4385-GZQXV,California,Ontario,16,Fiber optic,Yes,Month-to-month,94.45,1511.2,Yes,1,3810,Product dissatisfaction,-0.526,70.6,-9.1,82.4,1.5,1.4,56.0,4.8,2.6,11.3,66.6,1.9,2.0,44.5,19.5,1.2,-11.0,77.2,0.9
6366-ZGQGL,California,Pomona,1,DSL,No,Month-to-month,24.8,24.8,Yes,1,5087,Service dissatisfaction,-0.826,50.5,-17.5,58.6,2.9,-0.2,64.3,-1.1,2.0,2.7,45.5,6.6,1.7,34.3,32.0,-19.1,-19.8,76.6,0.4
5940-AHUHD,California,Pomona,1,Fiber optic,No,Month-to-month,70.6,70.6,Yes,1,3338,Lack of self-service on Website,0.409,80.8,-2.3,81.9,-0.1,0.1,47.5,10.5,1.8,11.7,55.5,-0.4,-0.9,41.0,62.9,-6.7,1.1,62.0,0.9
6432-TWQLB,California,Rosemead,5,Fiber optic,Yes,Month-to-month,85.4,401.1,Yes,1,3676,Network reliability,-0.459,78.2,10.7,80.3,4.6,1.9,65.9,-5.5,0.3,4.1,49.3,7.9,2.3,41.0,41.5,4.5,-7.5,91.8,4.6
4484-GLZOU,California,San Dimas,52,Fiber optic,No,Month-to-month,105.05,5624.85,Yes,1,4839,Don't know,-1.214,62.4,-6.7,74.1,3.2,1.3,59.7,7.5,1.2,-1.2,46.6,3.1,3.4,28.1,51.6,-10.6,-11.5,87.5,0.0
9512-UIBFX,California,West Covina,18,Fiber optic,No,Month-to-month,95.15,1779.95,Yes,1,4643,Don't know,-1.329,41.6,-6.2,75.3,3.4,1.1,47.7,7.4,1.8,-3.5,66.1,0.8,2.5,39.8,58.3,-2.5,-12.8,88.0,0.0
5583-SXDAG,California,Alhambra,1,Fiber optic,No,Month-to-month,70.0,70.0,Yes,1,4094,Don't know,-1.253,58.6,0.6,80.2,4.4,1.1,75.6,13.3,-1.1,8.9,51.2,3.5,0.6,34.1,50.8,7.3,-8.4,79.1,3.2
3488-PGMQJ,California,Alpine,8,Fiber optic,No,Month-to-month,74.5,606.55,Yes,1,4345,Poor expertise of online support,0.122,69.7,-1.3,76.8,0.2,0.5,68.5,5.2,2.9,19.2,82.4,-1.5,2.0,31.2,50.1,-1.9,-1.4,60.2,1.5
3580-REOAC,California,Bonita,10,DSL,No,Month-to-month,44.85,435.4,Yes,1,4061,Poor expertise of phone support,-0.195,51.9,-3.8,71.5,1.4,0.3,31.2,3.6,4.5,17.6,54.1,-0.0,3.9,34.2,44.3,-4.6,-8.6,56.5,5.3
7534-BFESC,California,Boulevard,24,Fiber optic,No,Month-to-month,76.1,1712.7,Yes,1,2018,Price too high,0.42,64.6,5.9,82.3,2.3,-0.1,78.2,7.2,2.0,12.5,67.1,3.4,1.0,13.8,27.1,-2.7,-8.9,86.4,0.0
6390-DSAZX,California,Guatay,1,Fiber optic,No,Month-to-month,73.6,73.6,Yes,1,2565,Product dissatisfaction,-0.793,45.5,-0.7,78.6,-0.0,1.6,43.2,7.0,3.5,19.3,55.8,0.8,3.2,42.3,96.2,-7.4,-22.7,66.2,0.7
8098-LLAZX,California,Jacumba,4,Fiber optic,No,Month-to-month,95.45,396.1,Yes,1,3677,Service dissatisfaction,-0.223,72.8,-0.4,83.8,-0.2,0.9,70.6,5.3,2.5,7.0,67.2,0.4,1.2,32.0,24.2,-6.2,-2.8,55.2,1.3
0265-EDXBD,California,Mount Laguna,32,Fiber optic,No,Month-to-month,74.9,2303.35,Yes,1,4105,Lack of self-service on Website,0.418,70.9,-1.6,60.3,0.7,1.1,67.1,1.9,2.5,18.0,75.2,3.3,0.9,17.6,22.7,-1.4,6.8,42.6,4.2
7563-BIUPC,California,Borrego Springs,5,Fiber optic,No,Month-to-month,80.6,415.55,Yes,1,5715,Network reliability,-0.654,43.4,-6.0,71.3,0.9,1.2,12.4,7.2,0.4,6.2,60.3,4.3,2.0,24.1,63.3,-1.1,-3.5,84.8,1.6
2321-OMBXY,California,Carlsbad,38,DSL,Yes,One year,80.3,3058.65,Yes,1,2071,Limited range of services,0.613,74.2,6.4,67.5,1.3,1.5,73.5,7.0,1.6,7.7,111.1,4.1,0.6,11.1,42.3,-1.9,-14.2,85.4,0.0
2840-XANRC,California,Del Mar,24,Fiber optic,No,Month-to-month,93.15,2231.05,Yes,1,2212,Lack of affordable download/upload speed,-0.845,61.5,-6.5,78.0,3.7,1.2,49.8,0.6,-0.2,14.8,83.1,4.8,1.2,62.4,32.6,-6.7,-14.2,98.7,3.2
5020-ZSTTY,California,El Cajon,54,DSL,Yes,One year,82.45,4350.1,Yes,1,4149,Long distance charges,-0.037,72.7,6.8,82.9,3.5,1.3,51.8,-0.6,3.3,14.2,55.3,3.5,1.4,34.7,24.7,-1.3,-13.0,74.6,2.0
5804-LEPIM,California,Escondido,2,Fiber optic,No,Month-to-month,70.35,139.05,Yes,1,2671,Extra data charges,-0.743,58.0,-11.2,70.0,5.7,1.0,47.3,14.7,0.2,13.8,81.1,5.5,3.0,42.9,39.2,-13.3,-14.3,73.2,0.5
0122-OAHPZ,California,Oceanside,7,Fiber optic,No,Month-to-month,73.85,511.25,Yes,1,2473,Price too high,-1.468,49.2,4.2,62.6,3.2,0.3,61.5,7.0,3.8,-2.8,74.7,6.8,2.3,59.2,50.8,-8.1,-15.5,47.7,0.0
2868-SNELZ,California,Pala,2,Fiber optic,No,Month-to-month,80.6,155.8,Yes,1,2683,Product dissatisfaction,0.069,57.8,1.7,82.0,2.5,0.5,45.2,8.3,2.6,18.6,44.1,3.6,1.3,67.3,32.8,3.8,-8.6,84.8,4.8
4322-RCYMT,California,Palomar Mountain,68,DSL,Yes,One year,75.8,5293.95,Yes,1,4903,Service dissatisfaction,-0.034,60.1,-8.6,74.3,2.3,1.1,77.0,5.5,2.5,15.9,30.7,4.7,1.7,26.5,24.2,-11.3,20.4,69.7,1.0
6680-NENYN,California,Pauma Valley,43,Fiber optic,No,Two year,104.6,4759.85,Yes,1,5250,Lack of self-service on Website,0.334,,2.7,91.4,2.6,1.1,37.5,9.3,-0.1,9.2,70.3,-2.5,3.3,27.0,42.8,3.3,-6.6,71.5,2.0
1343-EHPYB,California,Ranchita,63,Fiber optic,No,Month-to-month,103.4,6603.0,Yes,1,4352,Network reliability,0.509,71.2,-4.9,95.5,2.6,1.6,67.8,2.6,3.2,16.6,65.9,2.1,-0.2,20.4,30.4,5.5,-20.0,62.2,3.7
2034-GDRCN,California,Valley Center,2,Fiber optic,No,Month-to-month,90.4,168.2,Yes,1,4157,Don't know,0.031,64.6,-1.4,85.9,3.7,0.3,72.0,6.8,1.5,19.0,25.3,6.7,2.2,32.9,49.0,12.8,7.9,71.0,0.0
0219-YTZUE,California,San Diego,4,Fiber optic,No,Month-to-month,84.8,371.9,Yes,1,4939,Don't know,0.251,63.0,-4.5,79.1,3.6,0.7,73.2,7.4,1.1,6.7,68.4,2.1,2.4,12.0,34.1,1.7,-0.1,75.9,3.9
0623-IIHUG,California,San Diego,21,DSL,No,Month-to-month,41.9,840.1,Yes,1,4778,Don't know,-0.34,60.6,-3.6,92.6,3.3,0.6,59.9,1.3,0.6,5.3,63.4,5.0,1.4,52.2,9.0,-8.8,4.8,67.8,4.2
4572-DVCGN,California,San Diego,10,Fiber optic,No,Month-to-month,80.25,846.0,Yes,1,3598,Poor expertise of online support,-0.724,92.9,2.8,75.3,5.2,2.0,50.9,4.4,-0.6,7.5,50.4,4.7,3.4,44.4,48.2,-4.5,-6.0,55.0,0.0
9057-MSWCO,California,San Diego,27,DSL,No,Month-to-month,30.75,805.1,Yes,1,2927,Poor expertise of phone support,-0.278,,1.1,69.8,2.5,1.0,48.6,3.9,1.7,-5.0,88.3,2.4,2.8,33.8,53.4,-6.9,9.9,81.9,0.7
1010-DIAUQ,California,San Diego,5,Fiber optic,No,Month-to-month,96.5,492.55,Yes,1,5383,Price too high,-1.942,49.5,-15.1,61.2,2.5,1.4,25.9,-0.2,0.5,8.8,48.8,6.2,3.5,26.7,56.5,-9.5,-8.5,77.7,0.0
0259-GBZSH,California,San Diego,2,Fiber optic,No,Month-to-month,85.65,181.5,Yes,1,3878,Product dissatisfaction,-1.74,,-14.1,61.8,2.7,1.1,35.9,1.1,-1.2,13.4,,4.1,0.6,60.5,19.2,-17.8,0.3,68.6,1.1
